Model Name,RMSE,MAPE,MASE
Linear Regression,134962.9529633431,0.11133015791227378,0.8576026981816381
Elastic Net,136062.0299936628,0.11432950047789624,0.8765839061919588
Ridge Regression,134962.4781884619,0.11133282383890993,0.8576065704225099
Lasso Regression,134962.98249861196,0.11132976367502842,0.8575993202807654
Huber Regression,164241.90572966012,0.13995711446293135,1.0684607560685142
